dr12objid,RA,DEC,redShift,nuv_mag,j,jIvar,h,hIvar,k,kIvar,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,nearest_galexid,petromag_r,petror90_r
1237665532243411076,200.7317,26.98073,0.009621404,16.0184803009033,13.98,216.263,13.648,88.99964,13.338,92.45562,14.94254,13.5035,12.78222,12.40578,12.14689,6379324907392598676,12.74934,34.88738
1237668294984925255,172.3137,20.58314,0.004708472,15.64866256713865,15.816,67.18624,15.618,31.56167,15.423,27.70083,16.19567,14.93321,14.61813,14.37391,14.37962,3083279231414704664,14.50561,22.8258
1237662305112424512,205.1804,39.55293,0.0111321,19.400970458984364,16.518,88.99964,15.646,67.18624,15.748,27.99474,18.37713,17.18557,16.7173,16.64476,16.36356,3057665008536132041,16.69827,6.30049
1237662530060091441,200.0288,14.54327,0.01212358,19.8333435058594,13.969,730.4601,13.407,540.8328,13.17,330.5785,16.87973,15.28218,14.59953,14.25715,14.0109,6378656337750919289,14.77771,10.09045
1237661950790598708,183.0719,13.2052,0.007582336,16.599313100179035,12.686,48.90215,12.114,41.09138,11.851,70.61648,13.75194,11.9958,11.22891,10.7979,10.47075,2488804080601798066,11.38931,50.07534
1237665129609887877,163.4101,34.03317,0.006215077,16.401542027791333,15.727,66.09822,14.088,0.0,14.718,48.90215,15.70744,14.73068,14.32308,14.12785,13.98862,3228133291505750249,14.34265,18.8516
1237655126082977857,184.4975,5.59859,0.00870102,18.9130694071452,13.601,330.5785,12.829,251.9526,12.574,434.0278,15.91163,14.19807,13.45293,13.06919,12.8073,3124902343597886394,13.54291,26.49406
1237659326021107759,227.167,52.45378,0.01136442,17.63576412200925,14.305,369.8225,13.548,251.9526,13.278,210.0399,16.12549,15.04687,14.57588,14.34533,14.12342,6374997197413416971,14.72625,11.60381
1237661070338293776,188.1392,15.41539,0.001429612,19.04821729660035,13.93,384.4675,13.332,229.5684,13.316,216.263,16.18998,14.58602,13.92267,13.56373,13.32683,3166982852616126679,14.07615,20.71641
1237655108375806154,175.1697,59.81397,0.01181939,21.26748561859135,15.521,164.3655,14.912,118.1474,14.764,70.61648,18.37523,16.84608,16.17706,15.83484,15.60944,6374399033021042518,16.04508,7.830581
1237661434850377862,202.1402,46.49994,0.008537618,18.175258000691734,15.516,115.6203,14.05,0.0,14.605,65.03642,17.10222,15.77127,15.18613,14.97438,14.74503,2491618830370996874,15.07851,20.75769
