galexid,sdss_id,survey,nuvExposureTime,fuvExposureTime,ra,dec,nuv_mag,nuv_magErr,fuv_mag,fuv_magErr,e_bv
6375700864454100580,1237668330963992815,AIS,169,169,242.336335770404,8.76276149881021,16.1950092315674,0.0195974409580231,16.6724834442139,0.0370602905750275,0.0435658246278763
6374082441320074997,1237665016311513135,AIS,191.05,191.05,162.564844391515,32.7684639567233,16.8932266235352,0.0166649892926216,17.4808578491211,0.0367241315543652,0.0341683626174927
6375102740866007901,1237654398079795398,AIS,119,119,171.908662489483,63.3133143651378,17.8949813842773,0.0469387806952,18.2922706604004,0.0779393911361694,0.00851988326758146
6374715677339551302,1237661852009955461,AIS,217,217,196.863991864311,45.1534722310558,16.994384765625,0.0214279349893332,17.3751049041748,0.0391453318297863,0.0175721924751997
6376052710322474106,1237652943175286842,AIS,200,200,359.903202174618,14.8085917116553,14.7266569137573,0.00746041815727949,15.0867891311646,0.0146837253123522,0.0415093749761581
6376123117721356423,1237652942097154194,AIS,185.1,185.1,349.639263018763,13.4386978457653,17.5914077758789,0.0308811794966459,17.7384548187256,0.0480152927339077,0.0573760345578194
6376158320347056260,1237678617415712900,AIS,199,199,355.086794546621,1.24593258650052,17.5055599212646,0.0309002436697483,18.0022048950195,0.0556272715330124,0.0391215272247791
6376158326787408942,1237666408439873551,AIS,197,197,354.130134928213,0.296757916937853,15.2512283325195,0.0105979181826115,-999,-999,0.0344873517751694
6377284140797002554,1237663783144128544,AIS,218,218,46.7185531613224,-0.793602717208021,18.2083988189697,0.0540409907698631,20.4377746582031,0.194282338023186,0.0715739652514458
6377284141870746889,1237660024523915418,AIS,411.1,411.1,46.0526687834441,-1.19325410892668,17.3989582061768,0.0191232338547707,17.8690757751465,0.0266116298735142,0.0766414478421211
6377284141870748865,1237663783144128544,AIS,411.1,411.1,46.7184651710413,-0.793640658798937,18.3554763793945,0.0783992558717728,20.2266330718994,0.187054187059402,0.0715739652514458
6377284205221512550,1237649961917153325,AIS,112,112,47.4132493785978,-7.84518220806234,16.8244018554688,0.0321318693459034,17.3215637207031,0.0677302330732346,0.0888170078396797
6377284218105369693,1237649962455400505,AIS,273,273,50.5727895386286,-7.09067404060041,-999,-999,18.0294189453125,0.0320274010300636,0.0717919766902924
6374856440597709554,1237665330386698255,AIS,108,108,178.100033328492,32.404032201579,17.4558982849121,0.0398371629416943,19.1274147033691,0.132996112108231,0.0330189503729343
6377284221325541908,1237649961381068943,AIS,112,112,49.3740538822044,-8.14538606300363,17.4305171966553,0.0410308130085468,-999,-999,0.0972965359687805
6377284223475125197,1237652901843501141,AIS,263,263,49.8584655788126,-6.12113745906424,16.565450668335,0.0162027329206467,16.8827133178711,0.0253154970705509,0.0471126176416874
6377319316579159744,1237649962456842438,AIS,177,177,53.9504611127726,-6.7175604905964,18.5716190338135,0.0488887540996075,18.8123950958252,0.0703018456697464,0.0354785434901714
6377389706798171483,1237679167161303218,AIS,310,202,29.861823395956,14.8341376836417,17.952543258667,0.0283587202429771,18.350040435791,0.0729198530316353,0.0540946945548058
6377389717535589663,1237679167161303218,AIS,390,336,29.8617045807737,14.8341417234928,18.0716667175293,0.0254575051367283,18.4214859008789,0.0540083236992359,0.0540946945548058
3873168385010307596,1237655468065489050,MIS,1232,0,236.310797825464,0.772548923738917,16.9933738708496,0.0135573614388704,-999,-999,0.0908686295151711
